Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MEAN_INTENSITY01,MEAN_INTENSITY02,MEAN_INTENSITY03,MEAN_INTENSITY04,MEAN_INTENSITY05,MEAN_INTENSITY06,MEAN_INTENSITY07,MEAN_INTENSITY08,MEAN_INTENSITY09,MEAN_INTENSITY10,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1152,1152,0,24.508,1026.013,523.893,0,0,0,10,1,2058.971,939.462,2190.587,None,None,None,None,None,None,None,-10921639,2190.587,1998,1054,4084,1640750,859.075,13.916,0.331,1.269
ID1153,1153,1,28.756,59.176,553.425,0,0,0,10,1,2637.654,974.870,2131.590,None,None,None,None,None,None,None,-10921639,2131.590,1678,830,4104,1596561,1034.545,10.440,0.396,1.170
ID1154,1154,2,22.492,167.982,576.852,0,0,0,10,1,2767.295,937.242,2089.547,None,None,None,None,None,None,None,-10921639,2089.547,1661,975,4065,1565071,888.610,9.935,0.300,1.085
ID1155,1155,3,16.826,1145.046,583.946,0,0,0,10,1,1833.822,1005.307,2191.891,None,None,None,None,None,None,None,-10921639,2191.891,2275,1149,2976,1641726,428.204,14.902,0.262,2.127
ID1156,1156,4,28.562,508.705,592.398,0,0,0,10,1,2297.774,955.672,2565.776,None,None,None,None,None,None,None,-10921639,2565.776,2854,1133,4355,1921766,866.076,14.535,0.363,1.579
ID1157,1157,5,22.072,135.793,606.497,0,0,0,10,1,2248.276,979.752,2378.211,None,None,None,None,None,None,None,-10921639,2378.211,2598,1094,3582,1781280,646.712,14.497,0.316,1.764
ID1158,1158,6,20.810,1223.961,610.955,0,0,0,10,1,1197.155,612.594,1686.682,None,None,None,None,None,None,None,-10921639,1686.682,1760,0,3956,1263325,1218.811,14.768,0.367,0.744
ID1159,1159,7,15.721,849.525,612.571,0,0,0,10,1,1879.873,934.768,1801.674,None,None,None,None,None,None,None,-10921639,1801.674,1498,917,3910,1349454,763.960,9.465,0.156,0.636
ID1160,1160,8,23.012,203.999,619.732,0,0,0,10,1,1880.442,933.794,2294.933,None,None,None,None,None,None,None,-10921639,2294.933,2076,1161,4186,1718905,877.826,10.111,0.284,1.157
ID1161,1161,9,18.878,1039.926,620.702,0,0,0,10,1,1976.964,911.776,2233.562,None,None,None,None,None,None,None,-10921639,2233.562,2351,1208,3453,1672938,636.170,10.316,0.252,1.412
ID1162,1162,10,22.182,857.827,629.643,0,0,0,10,1,1946.320,1136.441,2358.570,None,None,None,None,None,None,None,-10921639,2358.570,2680,1017,3795,1766569,790.244,14.108,0.288,1.335
ID1163,1163,11,18.799,253.427,685.536,0,0,0,10,1,2624.573,942.806,2367.599,None,None,None,None,None,None,None,-10921639,2367.599,2531,1150,3369,1773332,580.287,14.858,0.255,1.658
ID1164,1164,12,24.903,967.506,686.040,0,0,0,10,1,1894.187,919.232,2439.676,None,None,None,None,None,None,None,-10921639,2439.676,2636,1192,3891,1827317,773.904,13.901,0.322,1.536
ID1165,1165,13,18.905,576.363,693.440,0,0,0,10,1,1980.282,926.644,2089.567,None,None,None,None,None,None,None,-10921639,2089.567,2283,1074,3281,1565086,694.584,10.358,0.277,1.305
ID1166,1166,None,20.140,0.000,694.330,0,0,0,10,1,1501.537,607.777,1199.976,None,None,None,None,None,None,None,-10921639,1199.976,1087,0,3849,898782,1074.209,9.117,0.392,0.629
ID1167,1167,15,23.665,996.037,694.667,0,0,0,10,1,2362.422,918.151,2283.307,None,None,None,None,None,None,None,-10921639,2283.307,2208,1126,4286,1710197,862.090,10.438,0.295,1.206
